,has_All,Frmtn_enrgy,Frmtn_enrgy_w_intl,Mag Ordr,Mag Ordr_w_intl,Has_Intl,Has_FM,Has_AFM
Zr2Ti2I12,False,,initial,,initial,True,False,False
Ti4Br12,False,,initial,,initial,True,False,False
Ni2Ir2Cl12,False,,initial,,initial,True,False,False
Mo2Ir2Br12,True,afm_so,afm_so,spin_so,initial,True,True,True
Zr2Ti2Br12,False,,initial,,initial,True,False,False
Cr2Ir2Br12,True,spin_so,spin_so,spin_so,initial,True,True,True
Ti2Ni2Br12,True,afm_so,afm_so,spin_so,spin_so,True,True,True
Mo2Ir2Cl12,True,afm_so,afm_so,spin_so,initial,True,True,True
Ti2Ru2Cl12,True,afm_so,afm_so,afm_so,afm_so,True,True,True
Ti2Ni2Cl12,True,afm_so,afm_so,spin_so,initial,True,True,True
Cd2Ir2Br12,True,afm_so,afm_so,spin_so,initial,True,True,True
Ir2Ru2I12,True,spin_so,spin_so,spin_so,initial,True,True,True
Ir2Pd2Cl12,True,afm_so,afm_so,spin_so,spin_so,True,True,True
Ir2Ru2Br12,False,spin_so,spin_so,spin_so,initial,True,True,False
Ti2Fe2I12,False,,initial,,initial,True,False,False
Fe2Ir2I12,False,,initial,,initial,True,False,False
Ti2Au2I12,False,,initial,,initial,True,False,False
Ir2Au2Br12,False,,initial,,initial,True,False,False
Ti2Ni2I12,False,,initial,,initial,True,False,False
Ti2Ir2I12,False,,initial,,initial,True,False,False
Ir4Br12,True,afm_so,afm_so,afm_so,afm_so,True,True,True
Ti2Mo2I12,False,,initial,,initial,True,False,False
Ti2Cd2Cl12,True,afm_so,afm_so,afm_so,afm_so,True,True,True
Ti2Cd2I12,False,afm_so,afm_so,afm_so,initial,True,False,True
Mo2Ir2I12,False,,initial,,initial,True,False,False
Ti2Pd2I12,False,,initial,,initial,True,False,False
Fe2Ir2Cl12,True,afm_so,afm_so,spin_so,initial,True,True,True
Ti4I12,False,,initial,,initial,True,False,False
Zr2Ir2Cl12,False,afm_so,afm_so,afm_so,initial,True,False,True
Ti2Cd2Br12,True,spin_so,spin_so,spin_so,initial,True,True,True
Ni2Ir2Br12,False,,initial,,initial,True,False,False
Ir4Cl12,True,afm_so,afm_so,afm_so,afm_so,True,True,True
Ti2Cr2Br12,False,,initial,,initial,True,False,False
Fe2Ir2Br12,False,spin_so,spin_so,spin_so,initial,True,True,False
Cd2Ir2I12,True,afm_so,afm_so,spin_so,initial,True,True,True
Zr2Ir2Br12,False,afm_so,afm_so,afm_so,initial,True,False,True
Ti2Pd2Cl12,False,afm_so,afm_so,afm_so,initial,True,False,True
Ti2Cr2I12,False,,initial,,initial,True,False,False
Ti2Ru2Br12,False,,initial,,initial,True,False,False
Ti2Cr2Cl12,False,,initial,,initial,True,False,False
Ti2Zn2Cl12,True,afm_so,afm_so,afm_so,initial,True,True,True
Ti4Cl12,True,spin_so,spin_so,spin_so,spin_so,True,True,True
Ti2Au2Cl12,False,,initial,,initial,True,False,False
Zn2Ir2Cl12,False,spin_so,spin_so,spin_so,initial,True,True,False
Ir4I12,False,,initial,,initial,True,False,False
Ti2Zn2I12,False,,initial,,initial,True,False,False
Ti2Pd2Br12,False,afm_so,afm_so,afm_so,initial,True,False,True
Ni2Ir2I12,False,,initial,,initial,True,False,False
Cr2Ir2I12,False,,initial,,initial,True,False,False
Ti2Ru2I12,False,,initial,,initial,True,False,False
Zn2Ir2I12,False,,initial,,initial,True,False,False
Ir2Au2Cl12,False,afm_so,afm_so,afm_so,initial,True,False,True
Zr2Ir2I12,False,,initial,,initial,True,False,False
Ti2Au2Br12,False,,initial,,initial,True,False,False
Ti2Zn2Br12,False,,initial,,initial,True,False,False
Ir2Au2I12,False,,initial,,initial,True,False,False
Cd2Ir2Cl12,True,afm_so,afm_so,spin_so,initial,True,True,True
