,has_All,Frmtn_enrgy,Frmtn_enrgy_w_intl,Mag Ordr,Mag Ordr_w_intl,Has_Intl,Has_FM,Has_AFM
Cr2Cu2Br12,True,afm_so,afm_so,spin_so,initial,True,True,True
Cr4F12,False,spin_so,spin_so,spin_so,spin_so,True,True,False
Cr2Pd2I12,False,afm_so,afm_so,afm_so,afm_so,True,False,True
Cr2Cd2I12,True,spin_so,spin_so,spin_so,spin_so,True,True,True
Cr2Mo2I12,True,spin_so,spin_so,spin_so,spin_so,True,True,True
Cr2W2Cl12,True,spin_so,spin_so,spin_so,initial,True,True,True
Cr2Ir2F12,False,afm_so,afm_so,afm_so,afm_so,True,False,True
Cr2Co2Br12,False,afm_so,afm_so,afm_so,initial,True,False,True
Cr2Ru2Br12,True,afm_so,afm_so,spin_so,initial,True,True,True
V2Cr2Cl12,True,spin_so,spin_so,spin_so,initial,True,True,True
Cr2Pd2Br12,True,afm_so,afm_so,spin_so,initial,True,True,True
Cr2Rh2I12,True,spin_so,spin_so,afm_so,afm_so,True,True,True
V2Cr2F12,False,spin_so,initial,spin_so,spin_so,True,True,False
Cr2Co2I12,True,spin_so,spin_so,afm_so,afm_so,True,True,True
Cr2Co2Cl12,False,afm_so,afm_so,afm_so,initial,True,False,True
Ir2Ru2I12,True,spin_so,spin_so,afm_so,afm_so,True,True,True
Nb2Cr2I12,True,spin_so,spin_so,spin_so,initial,True,True,True
Cr2Ru2I12,True,afm_so,afm_so,spin_so,initial,True,True,True
Zr2Cr2F12,True,afm_so,initial,afm_so,afm_so,True,True,True
Mn2Cr2Cl12,True,spin_so,spin_so,spin_so,initial,True,True,True
Y2Cr2F12,False,,initial,,initial,True,False,False
Sc2Cr2Br12,True,spin_so,spin_so,afm_so,initial,True,True,True
Cr2Au2Br12,True,afm_so,afm_so,spin_so,initial,True,True,True
Cr2Rh2Cl12,True,afm_so,afm_so,spin_so,initial,True,True,True
Zn2Fe2Br6Cl6,False,afm_so,afm_so,afm_so,initial,True,False,True
Zr2Cr2I12,True,spin_so,spin_so,afm_so,afm_so,True,True,True
Y2Cr2Cl12,False,,initial,,initial,True,False,False
Nb2Cr2Br12,False,spin_so,spin_so,spin_so,initial,True,True,False
Cr4Cl12,True,spin_so,spin_so,spin_so,initial,True,True,True
Cr4Br12,True,spin_so,spin_so,spin_so,initial,True,True,True
Cr2Tc2F12,False,,initial,,initial,True,False,False
Cr2Au2I12,True,afm_so,afm_so,spin_so,initial,True,True,True
Cr2Mo2Cl12,True,spin_so,spin_so,spin_so,initial,True,True,True
Nb2Cr2F12,False,afm_so,initial,afm_so,afm_so,True,False,True
Mn2Cr2I12,False,,initial,,initial,True,False,False
Nb2Cr2Cl12,True,spin_so,spin_so,spin_so,initial,True,True,True
Cr2Ru2Cl12,True,afm_so,afm_so,spin_so,initial,True,True,True
Cr2Rh2F12,False,,initial,,initial,True,False,False
Cr2Mo2Br12,True,spin_so,spin_so,spin_so,spin_so,True,True,True
Y2Cr2Br12,False,,initial,,initial,True,False,False
Cr2Fe2Br6Cl6,False,spin_so,spin_so,spin_so,initial,True,True,False
Cr2Pt2Cl12,False,afm_so,afm_so,afm_so,initial,True,False,True
Y2Cr2I12,False,,initial,,initial,True,False,False
Zn2Cr2F12,False,spin_so,initial,spin_so,spin_so,True,True,False
Cr2Ni2Br12,True,afm_so,afm_so,spin_so,initial,True,True,True
Cr2Ag2Cl12,True,spin_so,spin_so,spin_so,initial,True,True,True
Cr2Pt2Br12,True,afm_so,afm_so,spin_so,initial,True,True,True
Sc2Cr2F12,True,spin_so,initial,spin_so,spin_so,True,True,True
Mn2Cr2Br12,True,spin_so,spin_so,spin_so,initial,True,True,True
Cr2W2I12,True,spin_so,spin_so,spin_so,initial,True,True,True
Cr2Cu2I12,True,afm_so,afm_so,spin_so,initial,True,True,True
Cr2Cd2F12,False,,initial,,initial,True,False,False
Cr2Tc2Cl12,False,afm_so,afm_so,afm_so,afm_so,True,False,True
Ti2Ru2Br12,True,afm_so,afm_so,afm_so,afm_so,True,True,True
Sc2Cr2I12,True,afm_so,afm_so,afm_so,afm_so,True,True,True
Zr2Cr2Br12,True,afm_so,afm_so,afm_so,afm_so,True,True,True
Cr2Fe2I12,True,afm_so,afm_so,spin_so,initial,True,True,True
Cr4I12,True,spin_so,spin_so,spin_so,spin_so,True,True,True
Zn2Cr2Br12,True,afm_so,afm_so,spin_so,spin_so,True,True,True
V2Cr2I12,True,spin_so,spin_so,spin_so,spin_so,True,True,True
Sc2Cr2Cl12,True,spin_so,spin_so,afm_so,initial,True,True,True
Cr2Tc2Br12,True,afm_so,afm_so,spin_so,initial,True,True,True
Cr2Cd2Cl12,True,afm_so,afm_so,spin_so,initial,True,True,True
Cr2Ag2I12,True,spin_so,spin_so,afm_so,initial,True,True,True
Cr2Ni2Cl12,True,afm_so,afm_so,spin_so,initial,True,True,True
Cr2W2Br12,True,spin_so,spin_so,spin_so,initial,True,True,True
Cr2Ni2I12,False,afm_so,afm_so,afm_so,initial,True,False,True
Cr2Pt2I12,True,afm_so,afm_so,spin_so,initial,True,True,True
Cr2Ag2Br12,True,afm_so,afm_so,spin_so,initial,True,True,True
Zn2Cr2Cl12,True,afm_so,afm_so,spin_so,initial,True,True,True
Cr2Fe2Br12,True,afm_so,afm_so,spin_so,initial,True,True,True
Cr2Pd2Cl12,True,afm_so,afm_so,spin_so,initial,True,True,True
Cr2Rh2Br12,True,spin_so,spin_so,afm_so,initial,True,True,True
Cr2Cd2Br12,False,,initial,,initial,True,False,False
Zn2Cr2I12,True,afm_so,afm_so,afm_so,afm_so,True,True,True
Cr2Ni2Br6Cl6,False,afm_so,afm_so,afm_so,afm_so,True,False,True
Ni4I6Br6,False,spin_so,spin_so,spin_so,initial,True,True,False
Zr2Cr2Cl12,True,spin_so,spin_so,afm_so,initial,True,True,True
V2Cr2Br12,True,spin_so,spin_so,spin_so,initial,True,True,True
Cr2Cu2Cl12,False,afm_so,afm_so,afm_so,initial,True,False,True
Cr2Au2Cl12,True,afm_so,afm_so,spin_so,initial,True,True,True
Cr2Tc2I12,True,afm_so,afm_so,spin_so,initial,True,True,True
Cr2Fe2Cl12,True,afm_so,afm_so,spin_so,initial,True,True,True
Ti2Cr2F12,True,afm_so,afm_so,afm_so,afm_so,True,True,True
Ti2Cr2Br12,True,spin_so,spin_so,spin_so,initial,True,True,True
Ru4Br12,True,spin_so,spin_so,spin_so,initial,True,True,True
Zn4Br6Cl6,True,afm_so,afm_so,afm_so,initial,True,True,True
Cr2Pd2F12,False,,initial,,initial,True,False,False
Cr2Fe2I6Cl6,False,afm_so,afm_so,afm_so,initial,True,False,True
Zn2Ni2Br6Cl6,False,spin_so,spin_so,spin_so,spin_so,True,True,False
Mo2Ir2Cl12,True,afm_so,afm_so,spin_so,spin_so,True,True,True
Ti2Ni2I6Cl6,True,afm_so,afm_so,spin_so,initial,True,True,True
Ti2Cr2Cl12,True,spin_so,spin_so,spin_so,initial,True,True,True
Ti2Ru2Cl12,True,afm_so,afm_so,spin_so,initial,True,True,True
Cr2Ir2Cl12,False,spin_so,spin_so,spin_so,initial,True,True,False
Mn2Cr2F12,False,,initial,,initial,True,False,False
Cr2Ir2I12,True,spin_so,spin_so,afm_so,afm_so,True,True,True
Fe4Br6Cl6,True,afm_so,afm_so,spin_so,initial,True,True,True
Zn2Ni2I6Br6,False,,initial,,initial,True,False,False
Cr2Ir2Br12,True,afm_so,afm_so,spin_so,initial,True,True,True
Ti2Zn2I6Cl6,False,spin_so,spin_so,spin_so,spin_so,True,True,False
Cr2Mo2F12,False,,initial,,initial,True,False,False
Cr2Ag2F12,False,,initial,,initial,True,False,False
Cr4I6Cl6,False,afm_so,afm_so,afm_so,initial,True,False,True
Cr2Ru2F12,False,afm_so,initial,afm_so,initial,True,False,True
Cr4Br6Cl6,True,spin_so,spin_so,spin_so,initial,True,True,True
Ti2Cr2Br6Cl6,False,spin_so,spin_so,spin_so,initial,True,True,False
Ir2Au2Br12,True,afm_so,afm_so,afm_so,initial,True,True,True
Fe4I6Cl6,False,afm_so,afm_so,afm_so,initial,True,False,True
Ti2Au2I12,True,spin_so,spin_so,afm_so,initial,True,True,True
Zn2Ir2I12,True,afm_so,afm_so,afm_so,initial,True,True,True
Co2Ru2Cl12,True,spin_so,spin_so,spin_so,initial,True,True,True
Mn2Ru2I12,True,spin_so,spin_so,spin_so,spin_so,True,True,True
Ru2Rh2I12,True,spin_so,spin_so,afm_so,initial,True,True,True
Tc2Ru2Br12,True,spin_so,spin_so,afm_so,initial,True,True,True
Zn4I6Cl6,True,afm_so,afm_so,afm_so,initial,True,True,True
Mn2Ru2Br12,True,afm_so,afm_so,spin_so,initial,True,True,True
Ru2Au2Br12,True,spin_so,spin_so,afm_so,initial,True,True,True
Sc2Ru2Cl12,True,spin_so,spin_so,spin_so,initial,True,True,True
Nb2Ru2Cl12,True,spin_so,spin_so,afm_so,initial,True,True,True
Ru4Cl12,True,spin_so,spin_so,spin_so,initial,True,True,True
Ru4Cl12K10,True,spin_so,initial,spin_so,initial,True,True,True
V2Ru2I12,True,afm_so,afm_so,afm_so,afm_so,True,True,True
V2Ru2Cl12,True,spin_so,spin_so,spin_so,spin_so,True,True,True
Tc2Ru2I12,True,spin_so,spin_so,afm_so,initial,True,True,True
Ag2Ru2I12,True,afm_so,afm_so,spin_so,initial,True,True,True
Ni2Ru2Cl12,True,spin_so,spin_so,afm_so,initial,True,True,True
Ru2Au2Cl12,True,afm_so,afm_so,afm_so,initial,True,True,True
Zn2Ru2Br12,True,afm_so,afm_so,afm_so,initial,True,True,True
Nb2Ru2I12,True,spin_so,spin_so,afm_so,initial,True,True,True
Ag2Ru2Br12,True,afm_so,afm_so,afm_so,initial,True,True,True
Ru2Rh2Cl12,True,afm_so,afm_so,spin_so,initial,True,True,True
Y2Ru2F12,False,,initial,,initial,True,False,False
Ni2Ru2Br12,True,afm_so,afm_so,spin_so,initial,True,True,True
Ru2Ir2F12,False,,initial,,initial,True,False,False
Ru4F12,True,spin_so,spin_so,spin_so,initial,True,True,True
Cd2Ru2Cl12,True,spin_so,spin_so,spin_so,initial,True,True,True
Co2Ru2Br12,True,spin_so,spin_so,spin_so,initial,True,True,True
Ti2Zn2I12,True,spin_so,spin_so,spin_so,initial,True,True,True
Ag2Ru2F12,True,spin_so,initial,spin_so,initial,True,True,True
Tc2Ru2Cl12,True,spin_so,spin_so,spin_so,initial,True,True,True
Mo2Ru2I12,True,spin_so,spin_so,spin_so,spin_so,True,True,True
Ru2Rh2Br12,True,afm_so,afm_so,spin_so,initial,True,True,True
Mo2Ru2Cl12,True,afm_so,afm_so,afm_so,afm_so,True,True,True
Ni2Ru2I12,True,spin_so,spin_so,spin_so,spin_so,True,True,True
Zn2Ru2F12,False,,initial,,initial,True,False,False
Sc2Ru2I12,True,spin_so,spin_so,spin_so,initial,True,True,True
