,Formation Energy,Magnetic order,Has_FM,Has_AFM
Cr2Pd2I12,afm_so,afm_so,False,True
Cr4F12,spin_so,spin_so,True,False
Cr2Cu2Br12,afm_so,spin_so,True,True
Cr2Cd2I12,spin_so,spin_so,True,True
Cr2Mo2I12,spin_so,spin_so,True,True
Cr2Ir2F12,afm_so,afm_so,False,True
Cr2Co2Br12,afm_so,afm_so,False,True
Cr2Ru2Br12,afm_so,spin_so,True,True
Cr2Pd2Br12,afm_so,spin_so,True,True
Cr2Rh2I12,spin_so,afm_so,True,True
V2Cr2F12,spin_so,spin_so,True,False
Cr2W2Cl12,spin_so,spin_so,True,True
V2Cr2Cl12,spin_so,spin_so,True,True
Cr2Co2I12,spin_so,afm_so,True,True
Cr2Co2Cl12,afm_so,afm_so,False,True
Ir2Ru2I12,spin_so,afm_so,True,True
Nb2Cr2I12,spin_so,spin_so,True,True
Cr2Ru2I12,afm_so,spin_so,True,True
Mn2Cr2Cl12,spin_so,spin_so,True,True
Zr2Cr2F12,afm_so,afm_so,True,True
Sc2Cr2Br12,spin_so,afm_so,True,True
Cr2Au2Br12,afm_so,spin_so,True,True
Cr2Rh2Cl12,afm_so,spin_so,True,True
Zr2Cr2I12,spin_so,afm_so,True,True
Nb2Cr2Br12,spin_so,spin_so,True,False
Cr4Br12,spin_so,spin_so,True,True
Cr4Cl12,spin_so,spin_so,True,True
Cr2Au2I12,afm_so,spin_so,True,True
Cr2Mo2Cl12,spin_so,spin_so,True,True
Nb2Cr2F12,afm_so,afm_so,False,True
Nb2Cr2Cl12,spin_so,spin_so,True,True
Cr2Ru2Cl12,afm_so,spin_so,True,True
Cr2Mo2Br12,spin_so,spin_so,True,True
Cr2Pt2Cl12,afm_so,afm_so,False,True
Zn2Cr2F12,spin_so,spin_so,True,False
Cr2Ni2Br12,afm_so,spin_so,True,True
Cr2Pt2Br12,afm_so,spin_so,True,True
Cr2Ag2Cl12,spin_so,spin_so,True,True
Sc2Cr2F12,spin_so,spin_so,True,True
Mn2Cr2Br12,spin_so,spin_so,True,True
Cr2W2I12,spin_so,spin_so,True,True
Cr2Cu2I12,afm_so,spin_so,True,True
Cr2Tc2Cl12,afm_so,afm_so,False,True
Sc2Cr2I12,afm_so,afm_so,True,True
Zr2Cr2Br12,afm_so,afm_so,True,True
Cr2Fe2I12,afm_so,spin_so,True,True
Cr4I12,spin_so,spin_so,True,True
Zn2Cr2Br12,afm_so,spin_so,True,True
V2Cr2I12,spin_so,spin_so,True,True
Sc2Cr2Cl12,spin_so,afm_so,True,True
Cr2Tc2Br12,afm_so,spin_so,True,True
Cr2Cd2Cl12,afm_so,spin_so,True,True
Cr2Ag2I12,spin_so,afm_so,True,True
Cr2W2Br12,spin_so,spin_so,True,True
Cr2Ni2I12,afm_so,afm_so,False,True
Cr2Pt2I12,afm_so,spin_so,True,True
Cr2Ag2Br12,afm_so,spin_so,True,True
Zn2Cr2Cl12,afm_so,spin_so,True,True
Cr2Fe2Br12,afm_so,spin_so,True,True
Cr2Pd2Cl12,afm_so,spin_so,True,True
Cr2Rh2Br12,spin_so,afm_so,True,True
Zn2Cr2I12,afm_so,afm_so,True,True
Zr2Cr2Cl12,spin_so,afm_so,True,True
V2Cr2Br12,spin_so,spin_so,True,True
Cr2Cu2Cl12,afm_so,afm_so,False,True
Cr2Au2Cl12,afm_so,spin_so,True,True
Cr2Tc2I12,afm_so,spin_so,True,True
Cr2Fe2Cl12,afm_so,spin_so,True,True
Cr2Ni2Cl12,afm_so,spin_so,True,True
Ti2Cr2F12,afm_so,afm_so,True,True
Ti2Cr2Br12,spin_so,spin_so,True,True
Ru4Br12,spin_so,spin_so,True,True
Cr2Fe2I6Cl6,afm_so,afm_so,False,True
Zn2Ni2Br6Cl6,spin_so,spin_so,True,False
Ti2Ni2I6Cl6,afm_so,spin_so,True,True
